"study","college","origin","distance","area","washroom","rent","neighborhood","course"
"Grad","Environment & Sustainability","International","15-30 minutes",28,0,830,"2027","ENV-G-003"
"Undergrad","Law","Saskatchewan","more than 45 minutes",36.5,0,660,"0005","LAW-U-001"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",30.5,0,900,"2032","ASC-U-132"
"Undergrad","Arts and Science","International","30-45 minutes",32.5,0,700,"1027","ASC-U-043"
"Undergrad","Engineering","Saskatchewan","30-45 minutes",23.5,0,490,"1045","ENG-U-017"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",28.5,1,720,"0018","ASC-U-128"
"Grad","Business","Saskatchewan","30-45 minutes",27.5,1,870,"1025","BUS-G-001"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",26.5,0,660,"2029","ASC-U-045"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",39.5,0,840,"2006","ASC-U-034"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",50,0,850,"1019","ASC-U-097"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",27,0,610,"1014","ASC-U-118"
"Grad","Engineering","Saskatchewan","more than 45 minutes",50.5,1,1600,"0008","ENG-G-001"
"Undergrad","Arts and Science","Saskatchewan","less than 15 minutes",43,0,1250,"3001","ASC-U-132"
"Undergrad","Pharmacy & Nutrition","International","more than 45 minutes",18,0,450,"0012","PHARM-U-003"
"Undergrad","Business","Out of Province","more than 45 minutes",61,0,1370,"0012","BUS-U-005"
"Undergrad","Education","Out of Province","15-30 minutes",37.5,0,780,"2027","EDU-U-020"
"Undergrad","Business","Saskatchewan","less than 15 minutes",24,1,1390,"3003","BUS-U-001"
"Undergrad","Nursing","Saskatchewan","15-30 minutes",23.5,0,640,"2023","NUR-U-018"
"Undergrad","Business","Out of Province","15-30 minutes",24,1,660,"2013","BUS-U-016"
"Undergrad","Education","Saskatchewan","30-45 minutes",21,1,650,"1020","EDU-U-013"
"Undergrad","Business","Saskatchewan","15-30 minutes",25.5,0,670,"2012","BUS-U-015"
"Undergrad","Arts and Science","International","30-45 minutes",29,0,670,"1026","ASC-U-083"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",31,1,700,"0002","ASC-U-041"
"Grad","Pharmacy & Nutrition","Saskatchewan","30-45 minutes",27.5,0,660,"1001","PHARM-G-002"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",32.5,0,700,"1045","ASC-U-070"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",31.5,1,680,"0012","ASC-U-038"
"Undergrad","Engineering","Saskatchewan","15-30 minutes",23,1,810,"2036","ENG-U-016"
"Undergrad","Medicine","Out of Province","more than 45 minutes",19.5,0,650,"0002","MED-U-007"
"Undergrad","Arts and Science","Out of Province","more than 45 minutes",26,0,480,"0006","ASC-U-113"
"Undergrad","Law","Saskatchewan","15-30 minutes",35,1,1070,"2027","LAW-U-002"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",30,1,900,"2032","ASC-U-077"
"Undergrad","Business","Saskatchewan","15-30 minutes",38.5,0,810,"2024","BUS-U-013"
"Undergrad","Kinesiology","Saskatchewan","30-45 minutes",35,0,740,"1036","KIN-U-010"
"Undergrad","Business","Saskatchewan","more than 45 minutes",25.5,1,660,"0013","BUS-U-025"
"Undergrad","Kinesiology","International","15-30 minutes",27,0,610,"2032","KIN-U-005"
"Grad","Nursing","International","30-45 minutes",29.5,0,700,"1008","NUR-G-002"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",31,0,480,"0005","ASC-U-079"
"Grad","Public Health","Saskatchewan","15-30 minutes",22,1,670,"2001","HEA-G-002"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",32,0,880,"2024","ASC-U-052"
"Grad","Arts and Science","Saskatchewan","30-45 minutes",26.5,0,590,"1007","ASC-G-011"
"Undergrad","Business","Saskatchewan","30-45 minutes",44,0,930,"1002","BUS-U-010"
"Grad","Education","Saskatchewan","15-30 minutes",25,0,640,"2034","EDU-G-002"
"Undergrad","Education","Saskatchewan","30-45 minutes",24.5,1,550,"1035","EDU-U-021"
"Undergrad","Arts and Science","International","more than 45 minutes",39,0,740,"0011","ASC-U-056"
"Undergrad","Business","Out of Province","30-45 minutes",31,0,490,"1010","BUS-U-021"
"Med Residents","Medicine","Saskatchewan","15-30 minutes",31.5,1,720,"2015","MED-M-006"
"Undergrad","Arts and Science","International","more than 45 minutes",21,1,530,"0020","ASC-U-043"
"Undergrad","Engineering","Out of Province","30-45 minutes",38.5,0,900,"1031","ENG-U-021"
"Grad","Veterinary Medicine","Saskatchewan","15-30 minutes",16.5,0,470,"2017","VET-G-002"
"Undergrad","Business","Saskatchewan","less than 15 minutes",29.5,0,800,"3004","BUS-U-020"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",25,1,420,"0004","ASC-U-003"
"Grad","Business","Saskatchewan","30-45 minutes",29,1,750,"1046","BUS-G-003"
"Undergrad","Engineering","Saskatchewan","30-45 minutes",46.5,0,850,"1044","ENG-U-013"
"Undergrad","Engineering","Saskatchewan","15-30 minutes",35,0,810,"2001","ENG-U-019"
"Undergrad","Business","Saskatchewan","15-30 minutes",32,0,760,"2025","BUS-U-007"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",36,0,900,"2007","ASC-U-058"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",30,1,850,"2025","ASC-U-044"
"Undergrad","Business","Saskatchewan","15-30 minutes",33,1,1780,"2001","BUS-U-030"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",29,1,740,"2015","ASC-U-106"
"Grad","Arts and Science","Saskatchewan","15-30 minutes",33,1,740,"2036","ASC-G-011"
"Undergrad","Agriculture & Bioresources","Saskatchewan","30-45 minutes",23.5,0,500,"1026","AGR-U-001"
"Undergrad","Arts and Science","Saskatchewan","less than 15 minutes",25,0,670,"3008","ASC-U-079"
"Undergrad","Kinesiology","International","30-45 minutes",43.5,1,1150,"1019","KIN-U-004"
"Undergrad","Business","International","30-45 minutes",27,0,400,"1043","BUS-U-020"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",24,0,500,"0021","ASC-U-044"
"Grad","Arts and Science","International","30-45 minutes",32.5,0,620,"1021","ASC-G-011"
"Undergrad","Business","Out of Province","less than 15 minutes",17,1,680,"3004","BUS-U-029"
"Undergrad","Business","International","15-30 minutes",24.5,1,770,"2008","BUS-U-005"
"Undergrad","Dentistry","Saskatchewan","less than 15 minutes",36,1,1510,"3011","DEN-U-003"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",27.5,0,670,"1035","ASC-U-085"
"Med Residents","Medicine","Saskatchewan","15-30 minutes",34,0,630,"2027","MED-M-004"
"Undergrad","Kinesiology","Saskatchewan","15-30 minutes",31,0,730,"2024","KIN-U-005"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",35,0,700,"1005","ASC-U-026"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",28.5,0,580,"1052","ASC-U-024"
"Grad","Education","Out of Province","15-30 minutes",26.5,1,840,"2022","EDU-G-008"
"Undergrad","Engineering","Saskatchewan","30-45 minutes",29,0,480,"1025","ENG-U-008"
"Undergrad","Engineering","Saskatchewan","more than 45 minutes",35,0,510,"0020","ENG-U-016"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",42,1,1350,"1051","ASC-U-039"
"Undergrad","Engineering","Saskatchewan","30-45 minutes",22.5,0,450,"1017","ENG-U-016"
"Undergrad","Nursing","International","less than 15 minutes",37,1,1400,"3010","NUR-U-011"
"Undergrad","Agriculture & Bioresources","International","30-45 minutes",24,0,410,"1035","AGR-U-007"
"Undergrad","Arts and Science","International","30-45 minutes",21.5,0,390,"1018","ASC-U-034"
"Undergrad","Engineering","International","30-45 minutes",22.5,0,600,"1021","ENG-U-006"
"Undergrad","Agriculture & Bioresources","Out of Province","30-45 minutes",33,0,700,"1015","AGR-U-006"
"Undergrad","Business","Saskatchewan","30-45 minutes",38,0,840,"1001","BUS-U-009"
"Undergrad","Nursing","Saskatchewan","15-30 minutes",31,0,770,"2010","NUR-U-020"
"Med Residents","Medicine","Saskatchewan","30-45 minutes",56.5,1,1520,"1007","MED-M-008"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",34,1,1230,"1012","ASC-U-058"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",25,0,570,"0013","ASC-U-091"
"Undergrad","Arts and Science","Out of Province","less than 15 minutes",26.5,1,950,"3005","ASC-U-090"
"Undergrad","Nursing","Out of Province","30-45 minutes",30.5,1,730,"1009","NUR-U-016"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",27.5,0,560,"1051","ASC-U-036"
"Undergrad","Business","Saskatchewan","15-30 minutes",41,0,840,"2001","BUS-U-006"
"Undergrad","Education","Saskatchewan","15-30 minutes",29.5,0,870,"2033","EDU-U-006"
"Undergrad","Dentistry","International","30-45 minutes",22.5,1,830,"1005","DEN-U-003"
"Grad","Nursing","Out of Province","less than 15 minutes",18.5,1,750,"3006","NUR-G-005"
"Grad","Arts and Science","Saskatchewan","15-30 minutes",30,0,750,"2010","ASC-G-009"
"Undergrad","Business","International","15-30 minutes",30.5,1,870,"2020","BUS-U-028"
"Undergrad","Engineering","International","30-45 minutes",24.5,0,570,"1016","ENG-U-009"
"Undergrad","Agriculture & Bioresources","Saskatchewan","15-30 minutes",37.5,0,1110,"2015","AGR-U-024"
"Grad","Arts and Science","Out of Province","15-30 minutes",35,0,650,"2008","ASC-G-013"
"Undergrad","Education","Saskatchewan","15-30 minutes",53,1,1600,"2003","EDU-U-022"
"Undergrad","Nursing","Saskatchewan","30-45 minutes",30.5,0,740,"1016","NUR-U-005"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",31.5,1,880,"2027","ASC-U-089"
"Undergrad","Education","Saskatchewan","15-30 minutes",47,1,1410,"2033","EDU-U-021"
"Undergrad","Education","Saskatchewan","15-30 minutes",38,1,970,"2020","EDU-U-016"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",30.5,1,860,"1019","ASC-U-096"
"Undergrad","Education","Saskatchewan","less than 15 minutes",44,1,1280,"3004","EDU-U-024"
"Undergrad","Dentistry","Out of Province","30-45 minutes",29.5,1,840,"1046","DEN-U-003"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",26.5,0,440,"1025","ASC-U-005"
"Undergrad","Arts and Science","International","30-45 minutes",41.5,0,1010,"1029","ASC-U-029"
"Undergrad","Veterinary Medicine","Out of Province","30-45 minutes",22,0,510,"1013","VET-U-001"
"Undergrad","Engineering","Saskatchewan","30-45 minutes",36.5,1,890,"1042","ENG-U-003"
"Grad","Public Policy","Saskatchewan","30-45 minutes",30,0,760,"1006","POL-G-003"
"Grad","Education","International","30-45 minutes",42,0,660,"1048","EDU-G-002"
"Undergrad","Business","Saskatchewan","30-45 minutes",40,0,830,"1012","BUS-U-037"
"Undergrad","Arts and Science","International","30-45 minutes",40.5,1,950,"1031","ASC-U-110"
"Undergrad","Arts and Science","Out of Province","15-30 minutes",30.5,1,1030,"2017","ASC-U-097"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",34,0,690,"1048","ASC-U-116"
"Grad","Business","Saskatchewan","30-45 minutes",25,0,490,"1036","BUS-G-001"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",26.5,0,630,"0014","ASC-U-043"
"Undergrad","Engineering","Saskatchewan","30-45 minutes",26,1,760,"1053","ENG-U-023"
"Grad","Education","Saskatchewan","less than 15 minutes",49.5,1,1430,"3009","EDU-G-007"
"Undergrad","Engineering","International","more than 45 minutes",28,0,660,"0011","ENG-U-009"
"Undergrad","Business","Out of Province","more than 45 minutes",45.5,0,830,"0008","BUS-U-029"
"Undergrad","Arts and Science","Out of Province","less than 15 minutes",26.5,1,1350,"3002","ASC-U-103"
"Undergrad","Arts and Science","International","30-45 minutes",27,0,510,"1042","ASC-U-002"
"Undergrad","Nursing","Out of Province","30-45 minutes",26,0,470,"1048","NUR-U-007"
"Grad","Agriculture & Bioresources","Saskatchewan","30-45 minutes",28,0,610,"1052","AGR-G-003"
"Grad","Pharmacy & Nutrition","Saskatchewan","more than 45 minutes",40,0,720,"0020","PHARM-G-002"
"Undergrad","Law","Saskatchewan","30-45 minutes",52.5,0,2140,"1026","LAW-U-005"
"Undergrad","Arts and Science","International","15-30 minutes",36,1,970,"2018","ASC-U-110"
"Undergrad","Business","Saskatchewan","30-45 minutes",37,0,620,"1038","BUS-U-037"
"Undergrad","Education","Saskatchewan","30-45 minutes",25,0,410,"1028","EDU-U-016"
"Undergrad","Kinesiology","Saskatchewan","30-45 minutes",29.5,0,600,"1041","KIN-U-008"
"Undergrad","Agriculture & Bioresources","Saskatchewan","15-30 minutes",40.5,0,830,"2017","AGR-U-024"
"Grad","Arts and Science","Saskatchewan","15-30 minutes",47.5,1,1770,"2024","ASC-G-003"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",27.5,0,480,"1012","ASC-U-098"
"Undergrad","Nursing","Out of Province","30-45 minutes",18.5,1,550,"1042","NUR-U-008"
"Undergrad","Arts and Science","International","15-30 minutes",38.5,0,870,"2035","ASC-U-086"
"Undergrad","Business","Saskatchewan","15-30 minutes",29.5,0,610,"2010","BUS-U-021"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",29.5,0,600,"1017","ASC-U-040"
"Undergrad","Education","Out of Province","30-45 minutes",24,0,610,"1042","EDU-U-024"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",38,1,990,"0013","ASC-U-068"
"Undergrad","Arts and Science","Out of Province","15-30 minutes",40,1,1370,"2020","ASC-U-013"
"Grad","Public Health","Saskatchewan","less than 15 minutes",28,1,990,"3006","HEA-G-002"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",19.5,0,490,"1007","ASC-U-056"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",23,1,650,"1040","ASC-U-078"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",29.5,1,900,"2032","ASC-U-018"
"Undergrad","Business","Saskatchewan","30-45 minutes",23,0,400,"1036","BUS-U-007"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",37,0,700,"2003","ASC-U-139"
"Med Residents","Medicine","International","30-45 minutes",28,0,480,"1017","MED-M-008"
"Undergrad","Arts and Science","Out of Province","15-30 minutes",27,1,620,"2034","ASC-U-103"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",20,1,410,"2034","ASC-U-006"
"Undergrad","Pharmacy & Nutrition","Out of Province","more than 45 minutes",39.5,1,750,"0013","PHARM-U-003"
"Grad","Environment & Sustainability","Saskatchewan","30-45 minutes",34,1,640,"1030","ENV-G-001"
"Undergrad","Nursing","Saskatchewan","15-30 minutes",39,1,1030,"2006","NUR-U-006"
"Undergrad","Business","Saskatchewan","30-45 minutes",20,1,640,"1012","BUS-U-014"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",28.5,0,610,"1009","ASC-U-038"
"Grad","Business","Saskatchewan","30-45 minutes",27,1,830,"1012","BUS-G-002"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",27,0,710,"2030","ASC-U-082"
"Undergrad","Business","International","15-30 minutes",30,0,780,"2004","BUS-U-032"
"Undergrad","Agriculture & Bioresources","Saskatchewan","15-30 minutes",48,1,1680,"2032","AGR-U-022"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",19.5,0,610,"2020","ASC-U-011"
"Undergrad","Agriculture & Bioresources","Saskatchewan","30-45 minutes",38,0,850,"1017","AGR-U-007"
"Undergrad","Kinesiology","Saskatchewan","more than 45 minutes",28.5,0,530,"0013","KIN-U-005"
"Undergrad","Education","Out of Province","30-45 minutes",34,0,800,"1042","EDU-U-028"
"Undergrad","Business","International","30-45 minutes",26,0,570,"1027","BUS-U-040"
"Undergrad","Arts and Science","Out of Province","15-30 minutes",27,0,700,"2037","ASC-U-116"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",45,1,740,"0003","ASC-U-022"
"Grad","Others","Saskatchewan","more than 45 minutes",17,1,420,"0008","OTH-G-001"
"Undergrad","Arts and Science","International","15-30 minutes",38.5,0,1660,"2007","ASC-U-097"
"Undergrad","Business","Out of Province","more than 45 minutes",28.5,1,540,"0008","BUS-U-002"
"Undergrad","Business","Saskatchewan","30-45 minutes",33.5,1,1510,"1005","BUS-U-027"
"Undergrad","Business","Saskatchewan","15-30 minutes",31,0,780,"2025","BUS-U-005"
"Undergrad","Agriculture & Bioresources","Out of Province","15-30 minutes",35.5,0,760,"2016","AGR-U-014"
"Undergrad","Veterinary Medicine","Saskatchewan","30-45 minutes",45,0,780,"1039","VET-U-001"
"Undergrad","Kinesiology","Saskatchewan","15-30 minutes",34.5,0,900,"2021","KIN-U-007"
"Undergrad","Arts and Science","Saskatchewan","less than 15 minutes",20.5,0,690,"3007","ASC-U-074"
"Grad","Arts and Science","Saskatchewan","15-30 minutes",27,0,700,"2036","ASC-G-014"
"Undergrad","Education","Saskatchewan","more than 45 minutes",39.5,0,620,"0021","EDU-U-018"
"Undergrad","Education","Saskatchewan","less than 15 minutes",18,0,490,"3003","EDU-U-015"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",23.5,0,670,"2011","ASC-U-111"
"Undergrad","Dentistry","Saskatchewan","30-45 minutes",26,0,610,"1045","DEN-U-002"
"Undergrad","Nursing","Saskatchewan","15-30 minutes",31.5,0,840,"2007","NUR-U-010"
"Med Residents","Medicine","International","30-45 minutes",37.5,0,680,"1010","MED-M-002"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",38,0,470,"0012","ASC-U-077"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",18,0,400,"1032","ASC-U-031"
"Undergrad","Arts and Science","International","30-45 minutes",45,1,1220,"1019","ASC-U-009"
"Undergrad","Arts and Science","Out of Province","less than 15 minutes",51,0,1210,"3004","ASC-U-002"
"Undergrad","Engineering","International","30-45 minutes",22,0,500,"1023","ENG-U-006"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",27,0,550,"1006","ASC-U-068"
"Undergrad","Business","Saskatchewan","15-30 minutes",29.5,1,870,"2012","BUS-U-038"
"Undergrad","Arts and Science","Saskatchewan","less than 15 minutes",32.5,0,880,"3004","ASC-U-065"
"Undergrad","Business","International","30-45 minutes",32.5,0,520,"1042","BUS-U-032"
"Grad","Nursing","Saskatchewan","15-30 minutes",34.5,0,820,"2028","NUR-G-002"
"Undergrad","Medicine","Saskatchewan","15-30 minutes",34,0,680,"2006","MED-U-005"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",31,1,570,"0001","ASC-U-005"
"Undergrad","Education","Out of Province","15-30 minutes",24,1,780,"2010","EDU-U-006"
"Undergrad","Business","Saskatchewan","30-45 minutes",29.5,0,680,"1012","BUS-U-026"
"Undergrad","Arts and Science","Saskatchewan","less than 15 minutes",41,0,1220,"3005","ASC-U-021"
"Undergrad","Medicine","Saskatchewan","15-30 minutes",31,0,990,"2013","MED-U-005"
"Undergrad","Nursing","Out of Province","less than 15 minutes",47.5,0,1490,"3002","NUR-U-003"
"Grad","Nursing","Out of Province","15-30 minutes",28,1,840,"2029","NUR-G-003"
"Undergrad","Business","Saskatchewan","more than 45 minutes",21,1,640,"0004","BUS-U-020"
"Grad","Medicine","Out of Province","more than 45 minutes",22,0,510,"0020","MED-G-001"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",28,1,730,"1023","ASC-U-031"
"Undergrad","Business","Saskatchewan","15-30 minutes",25.5,0,690,"2024","BUS-U-005"
"Non-degree","Nursing","International","30-45 minutes",40.5,0,780,"1034","NUR-N-001"
"Undergrad","Business","Saskatchewan","less than 15 minutes",36.5,0,1260,"3007","BUS-U-025"
"Undergrad","Education","Saskatchewan","15-30 minutes",30,0,640,"2004","EDU-U-018"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",19.5,0,530,"1007","ASC-U-043"
"Grad","Public Health","Saskatchewan","less than 15 minutes",24,1,1630,"3005","HEA-G-001"
"Grad","Education","Saskatchewan","15-30 minutes",23.5,0,730,"2010","EDU-G-007"
"Grad","Pharmacy & Nutrition","Saskatchewan","30-45 minutes",34.5,0,700,"1010","PHARM-G-002"
"Undergrad","Medicine","Out of Province","15-30 minutes",45,1,1220,"2021","MED-U-005"
"Undergrad","Pharmacy & Nutrition","Out of Province","less than 15 minutes",40,1,1080,"3006","PHARM-U-003"
"Undergrad","Business","Saskatchewan","15-30 minutes",22.5,0,480,"2014","BUS-U-021"
"Undergrad","Kinesiology","Out of Province","less than 15 minutes",26,0,780,"3006","KIN-U-006"
"Undergrad","Kinesiology","International","more than 45 minutes",27,0,490,"0004","KIN-U-003"
"Grad","Public Policy","Saskatchewan","15-30 minutes",22,1,660,"2018","POL-G-001"
"Undergrad","Engineering","Out of Province","15-30 minutes",27.5,1,830,"2014","ENG-U-012"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",28,0,790,"2028","ASC-U-020"
"Undergrad","Arts and Science","Saskatchewan","less than 15 minutes",24,0,760,"3002","ASC-U-106"
"Grad","Public Policy","Saskatchewan","30-45 minutes",18.5,0,380,"1038","POL-G-001"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",31.5,0,660,"2033","ASC-U-107"
"Grad","Engineering","International","30-45 minutes",37.5,0,630,"1021","ENG-G-003"
"Undergrad","Arts and Science","Out of Province","more than 45 minutes",47,0,830,"0021","ASC-U-068"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",33.5,1,860,"1051","ASC-U-057"
"Undergrad","Business","Saskatchewan","30-45 minutes",38,1,1110,"1046","BUS-U-005"
"Undergrad","Dentistry","Out of Province","15-30 minutes",50,1,1420,"2003","DEN-U-003"
"Undergrad","Education","Saskatchewan","30-45 minutes",36,0,710,"1039","EDU-U-009"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",26.5,1,720,"1007","ASC-U-034"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",24,0,490,"0020","ASC-U-113"
"Undergrad","Engineering","Saskatchewan","less than 15 minutes",23,0,730,"3004","ENG-U-020"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",34.5,0,810,"1015","ASC-U-002"
"Undergrad","Arts and Science","International","30-45 minutes",33,0,570,"1041","ASC-U-073"
"Undergrad","Arts and Science","Saskatchewan","less than 15 minutes",29.5,1,1180,"3010","ASC-U-046"
"Grad","Public Policy","International","15-30 minutes",29.5,1,830,"2015","POL-G-003"
"Undergrad","Veterinary Medicine","Saskatchewan","15-30 minutes",40.5,0,1240,"2023","VET-U-001"
"Undergrad","Agriculture & Bioresources","International","30-45 minutes",32.5,1,930,"1011","AGR-U-002"
"Grad","Arts and Science","Saskatchewan","15-30 minutes",22.5,0,620,"2022","ASC-G-001"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",33.5,1,1350,"1024","ASC-U-103"
"Undergrad","Education","Out of Province","30-45 minutes",31,0,610,"1049","EDU-U-003"
"Non-degree","Engineering","Saskatchewan","30-45 minutes",21.5,1,700,"1031","ENG-N-001"
"Undergrad","Kinesiology","Saskatchewan","30-45 minutes",34.5,1,840,"1001","KIN-U-009"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",23,0,640,"1048","ASC-U-090"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",28.5,1,670,"0007","ASC-U-070"
"Undergrad","Agriculture & Bioresources","International","less than 15 minutes",38,0,1280,"3010","AGR-U-020"
"Grad","Veterinary Medicine","Saskatchewan","30-45 minutes",29,0,810,"1023","VET-G-003"
"Undergrad","Engineering","International","15-30 minutes",34.5,0,640,"2020","ENG-U-002"
"Undergrad","Arts and Science","Out of Province","15-30 minutes",25.5,1,820,"2006","ASC-U-005"
"Grad","Arts and Science","Saskatchewan","30-45 minutes",16,0,440,"1009","ASC-G-009"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",38.5,1,780,"1016","ASC-U-109"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",28.5,0,680,"1011","ASC-U-086"
"Undergrad","Education","Saskatchewan","more than 45 minutes",18,0,610,"0006","EDU-U-012"
"Grad","Engineering","Saskatchewan","30-45 minutes",29,0,550,"1026","ENG-G-003"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",40.5,0,770,"1045","ASC-U-031"
"Grad","Others","Saskatchewan","more than 45 minutes",20,0,640,"0001","OTH-G-001"
"Undergrad","Agriculture & Bioresources","Saskatchewan","more than 45 minutes",25.5,1,550,"0004","AGR-U-007"
"Undergrad","Arts and Science","International","more than 45 minutes",27,0,440,"0018","ASC-U-134"
"Grad","Engineering","Saskatchewan","less than 15 minutes",33,0,760,"3010","ENG-G-002"
"Undergrad","Education","Saskatchewan","30-45 minutes",30,0,490,"1010","EDU-U-026"
"Undergrad","Agriculture & Bioresources","Saskatchewan","30-45 minutes",25.5,0,440,"1046","AGR-U-020"
"Undergrad","Arts and Science","International","more than 45 minutes",29,1,580,"0016","ASC-U-074"
"Undergrad","Agriculture & Bioresources","Saskatchewan","15-30 minutes",26.5,1,1130,"2019","AGR-U-022"
"Undergrad","Education","Out of Province","more than 45 minutes",46.5,0,820,"0001","EDU-U-024"
"Grad","Pharmacy & Nutrition","Saskatchewan","15-30 minutes",19,1,710,"2020","PHARM-G-002"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",43,1,900,"1010","ASC-U-055"
"Undergrad","Engineering","Saskatchewan","30-45 minutes",32,0,530,"1019","ENG-U-020"
"Undergrad","Business","Saskatchewan","more than 45 minutes",21,0,520,"0003","BUS-U-016"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",34,0,670,"1026","ASC-U-016"
"Grad","Arts and Science","Out of Province","more than 45 minutes",30.5,0,450,"0022","ASC-G-003"
"Med Residents","Medicine","Saskatchewan","30-45 minutes",20.5,0,570,"1014","MED-M-002"
"Grad","Public Health","International","more than 45 minutes",22,0,620,"0002","HEA-G-002"
"Grad","Arts and Science","Saskatchewan","less than 15 minutes",28.5,1,1120,"3008","ASC-G-006"
"Undergrad","Education","Saskatchewan","30-45 minutes",19.5,0,450,"1053","EDU-U-005"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",28,0,760,"2034","ASC-U-134"
"Grad","Agriculture & Bioresources","Saskatchewan","30-45 minutes",29,0,610,"1039","AGR-G-002"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",21,0,390,"1012","ASC-U-025"
"Med Residents","Medicine","Saskatchewan","15-30 minutes",21,1,640,"2024","MED-M-002"
"Med Residents","Medicine","Saskatchewan","more than 45 minutes",46.5,0,940,"0023","MED-M-007"
"Grad","Agriculture & Bioresources","International","15-30 minutes",29,1,620,"2034","AGR-G-001"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",32.5,0,720,"1010","ASC-U-055"
"Undergrad","Business","Saskatchewan","30-45 minutes",34,0,820,"1008","BUS-U-008"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",40.5,1,1230,"1042","ASC-U-070"
"Grad","Public Health","International","30-45 minutes",31.5,1,740,"1005","HEA-G-002"
"Undergrad","Agriculture & Bioresources","International","less than 15 minutes",28.5,1,780,"3005","AGR-U-013"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",25,0,570,"2032","ASC-U-091"
"Undergrad","Arts and Science","Saskatchewan","less than 15 minutes",25,0,620,"3001","ASC-U-108"
"Undergrad","Education","Out of Province","less than 15 minutes",27.5,0,710,"3002","EDU-U-010"
"Grad","Arts and Science","Saskatchewan","more than 45 minutes",25,1,620,"0012","ASC-G-003"
"Undergrad","Law","Out of Province","less than 15 minutes",31.5,1,1070,"3002","LAW-U-005"
